id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
2719,9712553,NAVIGATOR LUNA,Navigator Greater Bay Gas Corp,United Kingdom,Pacific Gas Pte Ltd,Singapore,Liberia,LPG,2018,,18599,DNV,PG Shipmanagement Pte Ltd,Singapore,PG Shipmanagement Pte Ltd,Singapore,2023-03-02T00:00:00Z
13482,9712644,HAMBURG HIGHWAY,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Japan,PCC,2015,,20703,NK,K Line RoRo Bulk Ship Management Co,Japan,Kawasaki Kisen K.K. (K Line),Japan,2020-01-01T00:00:00Z
25198,9712694,STAR ANTARES,Star Bulk Carriers Corp,Greece,Star Bulk Carriers Corp,Greece,Marshall Islands,Bulk,2015,,62158,BV,,,Star Bulk Carriers Corp,Greece,2020-01-01T00:00:00Z
212,9713076,TRUE NORTH,Global Meridian Holdings Ltd,Bermuda,Oceonix Services Ltd,United Kingdom,Liberia,Bulk,2016,,209325,ABS,Bernhard Schulte (Singapore) Pte Ltd,Singapore,Oceonix Services Ltd,United Kingdom,2023-09-23T00:00:00Z
11524,9713337,MOL BEACON,Financial Products Group Co. Ltd. (FPG),Japan,Financial Products Group Co. Ltd. (FPG),Japan,Hong Kong,Cont,2015,,119324,DNV,Seaspam Ship Management Ltd,Canada,Financial Products Group Co. Ltd. (FPG),Japan,2020-01-01T00:00:00Z
7398,9713349,SEASPAN BEAUTY,Greater China Intermodal Investments LLC,Hong Kong,Greater China Intermodal Investments LLC,Hong Kong,Hong Kong,Cont,2015,,119106,DNV,,,Greater China Intermodal Investments LLC,Hong Kong,2022-01-25T00:00:00Z
6938,9713430,NAVIOS VICTORY,Navios Maritime Holdings Inc,Greece,Navios Maritime Holdings Inc,Greece,Panama,Bulk,2014,,77095,NK,,,Navios Maritime Holdings Inc,Greece,2022-03-01T00:00:00Z
22432,9713923,CATHARINA OLDENDORFF,Egon Oldendorff GmbH & Co KG,Germany,Egon Oldendorff GmbH & Co KG,Germany,Malta,Bulk,2014,,95591,ABS,,,Egon Oldendorff GmbH & Co KG,Germany,2020-01-01T00:00:00Z
39159,9713935,KYPROS SKY,Safety Management Overseas SA,Greece,Safety Management Overseas SA,Greece,Cyprus,Bulk,2015,,77079,LR,,,Safety Management Overseas SA,Greece,2020-01-01T00:00:00Z
20911,9713947,SSI TRIUMPH,Densay Shipping & Trading DMCC,United Arab Emirates,Densay Shipping & Trading DMCC,United Arab Emirates,Marshall Islands,Bulk,2014,,61236,NK,,,Densay Shipping & Trading DMCC,United Arab Emirates,2020-01-01T00:00:00Z
35780,9713959,ERIETTA,Meadway Shipping & Trading Inc,Greece,Meadway Shipping & Trading Inc,Greece,Liberia,Bulk,2015,,61166,LR,,,Meadway Shipping & Trading Inc,Greece,2020-01-01T00:00:00Z
2720,9714630,PACIFIC MERCURY,Navigator Greater Bay Gas Corp,United Kingdom,Pacific Gas Pte Ltd,Singapore,Hong Kong,LPG,2019,,23704,DNV,PG Shipmanagement Pte Ltd,Singapore,,,2023-03-02T00:00:00Z
33083,9714666,FLORENTIA,Unknown Greeks,Greece,Unknown Greeks,Greece,Malta,Bulk,2016,,63340,NK,,,Unknown Greeks,Greece,2020-01-01T00:00:00Z
25608,9715555,ECO GALAXY,StealthGas Inc,Greece,StealthGas Inc,Greece,Marshall Islands,LPG,2015,,5873,LR,,,StealthGas Inc,Greece,2020-01-01T00:00:00Z
14700,9715804,KONKAR THEODOROS,Konkar Shipping Agencies SA,Greece,Konkar Shipping Agencies SA,Greece,Panama,Bulk,2015,,60897,NK,Konkar Shipping Agencies SA,Greece,Konkar Shipping Agencies SA,Greece,2020-01-01T00:00:00Z
