date_,geo_subcategory,shipcategory,avgspeed,sdspeed,minspeed,maxspeed
10/12/2019,Port Marina Bay Cruise Centre,CARGO,,,,
10/12/2019,Port Marina Bay Cruise Centre,TANKER,,,,
10/12/2019,Port Marina Bay Cruise Centre,PASSENGER,,,,
10/12/2019,Port Pasir Panjang,CARGO,0.724131944,1.576730004,0,10.8
10/12/2019,Port Pasir Panjang,TANKER,1.124242424,2.267940548,0,12
10/12/2019,Port Pasir Panjang,PASSENGER,,,,
10/12/2019,Port Brani,CARGO,1.333333333,1.258305739,0,2.5
10/12/2019,Port Brani,TANKER,2.7,2.1,0.3,4.2
10/12/2019,Port Brani,PASSENGER,,,,
10/12/2019,Sea,CARGO,6.1640365,5.668633923,0,20.7
10/12/2019,Sea,TANKER,3.555778089,4.366837069,0,51.2
10/12/2019,Sea,PASSENGER,,,,
10/12/2020,Port Bukom,CARGO,10.55,1.570668647,9.6,13.6
10/12/2020,Port Bukom,TANKER,2.395604396,2.938482041,0,9.6
10/12/2020,Port Bukom,PASSENGER,,,,
10/12/2020,Port Tanjong Pagar,CARGO,0,0,0,0
10/12/2020,Port Tanjong Pagar,TANKER,,,,
10/12/2020,Port Tanjong Pagar,PASSENGER,,,,
10/12/2020,Port Jurong Island,CARGO,3.80273224,3.350519587,0,13.8
10/12/2020,Port Jurong Island,TANKER,1.192162379,2.376014135,0,22.5
10/12/2020,Port Jurong Island,PASSENGER,,,,
10/12/2020,Port Tuas,CARGO,1.301388889,2.341751665,0,9.6
10/12/2020,Port Tuas,TANKER,0.744074844,1.589369381,0,10.8
10/12/2020,Port Tuas,PASSENGER,,,,
10/12/2020,Port Marina Bay Cruise Centre,CARGO,,,,
10/12/2020,Port Marina Bay Cruise Centre,TANKER,,,,
10/12/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
10/12/2020,Port Pasir Panjang,CARGO,0.948793566,1.724246325,0,9.7
10/12/2020,Port Pasir Panjang,TANKER,0.537560976,1.621487762,0,10
10/12/2020,Port Pasir Panjang,PASSENGER,,,,
10/12/2020,Port Brani,CARGO,0.266666667,0.361478446,0,0.9
10/12/2020,Port Brani,TANKER,0.45,0.636396103,0,0.9
10/12/2020,Port Brani,PASSENGER,,,,
